POSTAL,TOTAL EARNINGS
01420,139125.76
01436,51623.9
01460,151367.28
01464,162770.51
01503,159877.14
01545,206343.05
01560,101287.1
01603,60533.12
01606,144015.79
01701,147480.94999999998
01702,646812.6400000001
01720,52579.33
01721,105965.12
01730,169754.52
01741,470106.77
01742,384564.39
01746,505809.19999999995
01748,278942.97
01757,176520.77
01760,542201.51
01770,255630.51
01772,185374.02
01778,322716.75
01801,552836.16
01803,878.34
01810,481282.11000000004
01821,554747.98
01824,180447.59
01826,221246.14
01833,198538.94
01835,221772.66
01841,168388.78
01844,332283.53
01845,135770.86000000002
01862,112355.61
01863,183003.3
01864,236495.61
01867,999095.6599999999
01876,394959.1
01880,1498149.83
01887,1245383.69
01890,502968.80000000005
01904,139366.28
01905,300136.09
01906,654559.3699999999
01907,198875.03
01915,157102.6
01921,547367.8
01923,308607.94
01938,130715.04
01940,411623.85000000003
01945,119074.32
01949,137216.35
01950,189217.67
01960,1129437.2400000002
01966,6221.86
01969,232839.35
01970,458478.0
01982,149703.08
02019,396756.44999999995
02021,6497001.2200000025
02025,379.7
02026,3143961.69
02030,707747.82
02032,1174046.67
02035,2883344.8599999994
02038,2597683.7300000004
02043,1869177.0800000005
02045,337202.05
02047,355750.97
02048,1988794.7100000004
02050,5773414.990000001
02052,2752156.77
02053,831624.23
02054,719915.42
02056,278539.04000000004
02061,1892100.3699999996
02062,3369071.0599999987
02066,1652978.1500000001
02067,201330.26
02071,42820.58
02072,2606452.5399999996
02081,7747775.469999995
02090,4240024.19
02093,1787094.88
02109,285595.57
02110,201254.98
02111,54218.14
02113,135853.14
02114,874565.9800000001
02115,459404.16
02116,583393.78
02118,2171275.0900000003
02119,5212085.25
02120,1213602.8799999997
02121,5998240.280000003
02122,25623735.849999994
02124,32352300.30999998
02125,7948695.59
02126,10613273.969999999
02127,18277894.450000003
02128,10503174.910000004
02129,4855218.330000002
02130,4463514.570000001
02131,18393464.299999986
02132,49129963.72999997
02134,932629.6799999998
02135,6210987.449999998
02136,45486269.64999998
02139,234471.58
02141,128269.04
02143,66829.09
02148,483420.70999999996
02149,170962.53
02150,270861.56
02151,785092.7999999999
02152,1087984.7500000002
02155,818695.1099999999
02169,4327371.699999999
02170,1474522.9100000001
02171,2932681.28
02176,1197389.1099999999
02180,975591.65
02184,9600953.099999998
02186,9633540.66
02188,1351151.85
02189,1027337.4400000002
02190,2354259.2399999998
02191,1059610.84
02210,243286.44999999998
02215,140047.77
02301,3436487.7199999993
02302,1587789.31
02322,382413.72
02324,3099707.8700000006
02330,121923.29
02332,1700065.42
02333,594626.46
02339,6283717.17
02341,896690.6499999999
02343,594347.93
02346,555138.45
02351,1038811.43
02356,605871.08
02359,4570919.06
02360,1341297.99
02364,1637853.7200000002
02368,4083046.22
02370,1003446.7699999999
02375,1561706.6100000003
02379,480232.24
02382,381747.23
02446,189156.25
02451,29183.32
02452,61.42
02453,144006.77
02458,252595.90000000002
02459,311561.38
02460,181747.15
02461,142605.61
02462,90817.69
02465,131803.85
02466,566877.37
02467,754717.18
02472,518021.8
02474,375736.87
02476,550830.52
02478,863.59
02482,214283.47
02492,858495.2000000001
02493,62535.27
02494,467243.27
02532,317991.8
02536,604.71
02537,192732.77000000002
02538,150827.66
02540,120418.29
02556,116248.04
02571,98844.9
02631,272.48
02645,123896.35
02661,113.12
02664,111449.66
02668,209981.67
02703,186881.72999999998
02718,270233.84
02720,85841.78
02726,389525.98
02760,370536.85
02762,259657.64
02766,1153650.67
02767,460807.6
02769,264472.86
02779,212225.64
02780,185283.16
02809,97328.87
02860,92222.95
03036,105206.68
03055,203276.92
03077,558.51
03241,568.02
03246,258.57
03857,144.75
03909,115702.01
28394,69298.65
29461,863.59
29566,214.99
30039,488.12
31558,211224.61
32168,257370.94
32668,75.41
33060,173387.3
33706,5877.33
33913,561.59
33993,33.09
34104,201.56
34114,2.5
34287,473.04
34736,162130.21
36106,40009.97
91911,5.43
